,race_am_indian,race_asian,race_black,num_females,nbhd_name,nbhd_id,race_hispanic,num_males,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_5_to_9,age_60_to_64,age_65_to_74,age_75_to_84,age_85_over,age_5_under,race_white,nta,employed,unemployed,commute_car_pool,commute_car_alone,commute_other,commute_pub_transp,commute_walk,inc_10k_to_14k,inc_15k_to_24k,inc_200k_over,inc_25k_to_34k,inc_35k_to_49k,inc_50k_to_74k,inc_75k_to_99k,inc_10k_less,inc_100k_to_149k,inc_150k_to_199k,not_labor_force,total_housing_units,vehic_avail_none,vehic_avail_1,vehic_avail_2,vehic_avail_3_plus,ed_9_to12,ed_bachelors,ed_graduate,ed_high_school,ed_less_9,ed_some_college,f_divorced,f_married_separated,f_married,f_separated,f_widowed,m_divorced,m_married_separated,m_married,m_separated,m_widowed
0,15.0,1607.0,1171.0,12111.0,Brooklyn Heights-Cobble Hill                                   ,BK09,1866.0,11834.0,567.0,1089.0,1338.0,5746.0,4327.0,2814.0,1403.0,693.0,1240.0,1596.0,936.0,556.0,1640.0,18242.0,Brooklyn Heights-Cobble Hill,13770.0,985.0,213.0,732.0,436.0,9440.0,1541.0,315.0,680.0,2864.0,620.0,714.0,1248.0,1228.0,572.0,1857.0,1124.0,6158.0,12760.0,8124.0,2607.0,411.0,80.0,141.0,6647.0,8001.0,1630.0,217.0,1401.0,862.0,4822.0,4350.0,111.0,700.0,568.0,4853.0,4479.0,119.0,181.0
1,37.0,10015.0,3888.0,34118.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beac                  ,BK17,4562.0,28915.0,3547.0,3122.0,3857.0,7362.0,8309.0,9627.0,4695.0,3309.0,4381.0,5847.0,3385.0,2580.0,3012.0,44000.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,27126.0,2832.0,2418.0,8131.0,330.0,12650.0,2060.0,1581.0,2750.0,1161.0,2446.0,2684.0,3685.0,2980.0,3245.0,4000.0,1082.0,22612.0,27855.0,9331.0,12874.0,2982.0,427.0,3193.0,11851.0,5892.0,13267.0,2638.0,5703.0,2617.0,13623.0,7908.0,888.0,4052.0,1351.0,13805.0,7562.0,356.0,1003.0
2,158.0,4413.0,419.0,17214.0,Brighton Beach                                                 ,BK19,4334.0,15228.0,1305.0,1553.0,1961.0,4446.0,3759.0,4529.0,2186.0,1663.0,2277.0,2914.0,3217.0,917.0,1715.0,22463.0,Brighton Beach,13258.0,1146.0,814.0,2679.0,234.0,6774.0,2035.0,1334.0,1729.0,572.0,1484.0,1280.0,1649.0,1234.0,3053.0,1132.0,655.0,12921.0,15518.0,8592.0,4320.0,986.0,224.0,1250.0,6307.0,3103.0,6130.0,1667.0,2808.0,1762.0,6910.0,3323.0,396.0,2646.0,817.0,6936.0,4058.0,322.0,589.0
3,27.0,3732.0,9798.0,15570.0,Seagate-Coney Island                                           ,BK21,6108.0,13178.0,1678.0,2454.0,2285.0,2897.0,2856.0,3837.0,1772.0,1691.0,1708.0,2984.0,2206.0,905.0,1475.0,8668.0,Seagate-Coney Island,8797.0,2403.0,639.0,1912.0,170.0,4739.0,810.0,1275.0,1774.0,93.0,948.0,1260.0,1364.0,561.0,2691.0,610.0,287.0,12286.0,12101.0,7718.0,2324.0,599.0,222.0,3265.0,2623.0,1352.0,5778.0,2573.0,2450.0,1342.0,3814.0,5012.0,844.0,2013.0,907.0,4196.0,5134.0,183.0,459.0
4,0.0,102.0,163.0,9056.0,West Brighton                                                  ,BK23,121.0,6253.0,359.0,270.0,583.0,1308.0,1719.0,1958.0,1295.0,448.0,1456.0,2583.0,2085.0,800.0,445.0,14894.0,West Brighton,6581.0,609.0,204.0,1596.0,124.0,3795.0,520.0,979.0,1116.0,189.0,549.0,1051.0,1398.0,568.0,1005.0,1034.0,205.0,6786.0,8641.0,4147.0,3455.0,402.0,90.0,626.0,3670.0,1975.0,3603.0,521.0,1756.0,1066.0,3431.0,1357.0,419.0,1981.0,406.0,3533.0,1441.0,155.0,268.0
5,37.0,4589.0,419.0,21940.0,Homecrest                                                      ,BK25,3237.0,21258.0,3243.0,2756.0,2669.0,6049.0,5777.0,5276.0,2462.0,2970.0,2345.0,3549.0,2110.0,935.0,3057.0,34130.0,Homecrest,16813.0,1954.0,1142.0,4720.0,329.0,8210.0,1598.0,932.0,1859.0,586.0,1535.0,2335.0,2795.0,1673.0,1416.0,1792.0,496.0,14560.0,16912.0,6473.0,6613.0,1987.0,346.0,2215.0,5912.0,2998.0,9218.0,2238.0,4055.0,1458.0,9337.0,4265.0,363.0,1749.0,876.0,9692.0,5505.0,191.0,492.0
6,128.0,6836.0,2148.0,15346.0,Gravesend                                                      ,BK26,3850.0,13156.0,1542.0,1608.0,1616.0,3760.0,3689.0,3396.0,1971.0,1346.0,1879.0,3152.0,1816.0,1127.0,1600.0,15333.0,Gravesend,10686.0,1379.0,753.0,2613.0,128.0,5939.0,883.0,945.0,1610.0,229.0,1527.0,1474.0,1620.0,962.0,1546.0,1031.0,288.0,11589.0,11632.0,5700.0,4342.0,914.0,276.0,2525.0,3199.0,1745.0,6625.0,2643.0,2679.0,1324.0,6160.0,3647.0,248.0,1712.0,700.0,6217.0,3493.0,132.0,381.0
7,63.0,9139.0,487.0,14449.0,Bath Beach                                                     ,BK27,3862.0,14907.0,1441.0,1253.0,1682.0,5086.0,3956.0,3618.0,1914.0,1634.0,1843.0,2683.0,1777.0,709.0,1760.0,15487.0,Bath Beach,12361.0,1170.0,1035.0,2969.0,170.0,6999.0,544.0,845.0,1204.0,434.0,972.0,1415.0,1916.0,1046.0,855.0,1530.0,539.0,10751.0,11744.0,4587.0,4558.0,1343.0,268.0,2619.0,4017.0,2014.0,6815.0,2562.0,2280.0,755.0,6385.0,3309.0,377.0,1454.0,470.0,6811.0,4382.0,161.0,417.0
8,183.0,33185.0,558.0,45755.0,Bensonhurst West                                               ,BK28,13024.0,43140.0,4834.0,5245.0,6093.0,14833.0,11523.0,11775.0,5651.0,4691.0,5140.0,7092.0,4189.0,2263.0,5566.0,41020.0,Bensonhurst West,37691.0,4508.0,2607.0,7239.0,628.0,22446.0,2966.0,1993.0,3892.0,718.0,3518.0,4376.0,5749.0,2866.0,2160.0,3384.0,1243.0,30525.0,31892.0,15564.0,10606.0,3081.0,648.0,8776.0,8809.0,4235.0,19714.0,10290.0,6867.0,2727.0,19564.0,11460.0,596.0,3868.0,1360.0,19915.0,13257.0,369.0,688.0
9,0.0,22034.0,735.0,30578.0,Bensonhurst East                                               ,BK29,7047.0,29444.0,2487.0,2956.0,4042.0,9897.0,8067.0,8001.0,4136.0,3234.0,3531.0,5515.0,3524.0,1305.0,3327.0,29363.0,Bensonhurst East,26354.0,3073.0,1569.0,5167.0,454.0,16163.0,1768.0,1472.0,2796.0,500.0,2584.0,3486.0,3602.0,2378.0,1901.0,2227.0,848.0,20779.0,23439.0,10998.0,8373.0,2082.0,341.0,6195.0,7179.0,3808.0,13489.0,6291.0,4224.0,1887.0,14142.0,6994.0,562.0,2518.0,1076.0,14588.0,8273.0,276.0,658.0
