NAME,the_geom,URL,LINE,
103 St,POINT (-73.96837899924829 40.79944633394733),http://www.mta.info/nyct/subway/index.html,1,
103 St,POINT (-73.96137008216188 40.79606107356255),http://www.mta.info/nyct/subway/index.html,B-C,
103 ST,POINT (-73.94747800151542 40.790600332975615),http://www.mta.info/nyct/subway/index.html,6,
103 St-Corona,POINT (-73.8626999970616 40.7498653343015),http://www.mta.info/nyct/subway/index.html,7,
OXFORD-104 ST,POINT (-73.8376829999374 40.681711334202696),http://www.mta.info/nyct/subway/index.html,A,
104 St,POINT (-73.84443499900195 40.695166331888885),http://www.mta.info/nyct/subway/index.html,J-Z,
110 St,POINT (-73.94424999696717 40.79502033352402),http://www.mta.info/nyct/subway/index.html,6,
111 St,POINT (-73.85533399729226 40.751730332999585),http://www.mta.info/nyct/subway/index.html,7,
GREENWOOD-111,POINT (-73.83216299793189 40.68433133342542),http://www.mta.info/nyct/subway/index.html,A,
111 St,POINT (-73.83679338317 40.69711514442172),http://www.mta.info/nyct/subway/index.html,J,
116 St,POINT (-73.94962500105149 40.80209833254597),http://www.mta.info/nyct/subway/index.html,2-3,
116 St,POINT (-73.95479778092779 40.805058467107635),http://www.mta.info/nyct/subway/index.html,B-C,
116 St,POINT (-73.9416169982848 40.79862933384588),http://www.mta.info/nyct/subway/index.html,6,
116 ST-COLUMBIA,POINT (-73.96410999793578 40.807722334261875),http://www.mta.info/nyct/subway/index.html,1,
121 St,POINT (-73.82834899922645 40.70048233167487),http://www.mta.info/nyct/subway/index.html,J-Z,
125 St,POINT (-73.94549500019218 40.807754332840474),http://www.mta.info/nyct/subway/index.html,2-3,
125 St,POINT (-73.95837200092977 40.8155813329265),http://www.mta.info/nyct/subway/index.html,1,
125 St,POINT (-73.95224799754361 40.81107200632826),http://www.mta.info/nyct/subway/index.html,ACBD,
125 St,POINT (-73.93759400019064 40.804138334029325),http://www.mta.info/nyct/subway/index.html,4-5-6,
135 St,POINT (-73.94077000029493 40.81422933347776),http://www.mta.info/nyct/subway/index.html,2-3,
135 St,POINT (-73.94753480832401 40.817905892108634),http://www.mta.info/nyct/subway/index.html,B-C,
137 ST-CITY COL,POINT (-73.95367600034153 40.82200833264513),http://www.mta.info/nyct/subway/index.html,1,
138 ST-GR CONC,POINT (-73.9298489994812 40.81322433279863),http://www.mta.info/nyct/subway/index.html,4-5,
145 St,POINT (-73.95035999809508 40.82655133277471),http://www.mta.info/nyct/subway/index.html,1,
145 St,POINT (-73.93624499890744 40.82042133297881),http://www.mta.info/nyct/subway/index.html,3,
145 St,POINT (-73.94408792835779 40.82476669406457),http://www.mta.info/nyct/subway/index.html,A-B-C-D,
149 ST-GR CONC,POINT (-73.92738475430822 40.81830377684673),http://www.mta.info/nyct/subway/index.html,245,
149th St - Grand Concourse,POINT (-73.9267224745775 40.81833047711118),http://www.mta.info/nyct/subway/index.html,2-5,
14 ST,POINT (-74.00020100059422 40.737826333308426),http://www.mta.info/nyct/subway/index.html,123FLM,
14 ST-6 AVE,POINT (-73.99620899891177 40.73822833288366),http://www.mta.info/nyct/subway/index.html,FLM123,
14 ST,POINT (-74.00168999943754 40.74089333363853),http://www.mta.info/nyct/subway/index.html,ACEL,
155 St,POINT (-73.93820899809954 40.83013533321578),http://www.mta.info/nyct/subway/index.html,B-D,
155 St,POINT (-73.94151400028585 40.83051833300836),http://www.mta.info/nyct/subway/index.html,C,
157 St,POINT (-73.94488999874277 40.83404133354386),http://www.mta.info/nyct/subway/index.html,1,
15th St - Prospect Park,POINT (-73.979735806077 40.660036021685464),http://www.mta.info/nyct/subway/index.html,F-G,
161st St - Yankee Stadium,POINT (-73.92569199495203 40.82823066063588),http://www.mta.info/nyct/subway/index.html,4,
161st St - Yankee Stadium,POINT (-73.92565099751474 40.82790533241327),http://www.mta.info/nyct/subway/index.html,B-D,
