cldCvr,dewPt,feelsLike,postal_code,precip,relHum,snowfall,spcHum,temp,timestamp,wetBulb,windSpd
9.0,28.3,35.4,10019,0.0,64.5,0,3.21,39.2,2014-04-01T00:00:00-04:00,35.2,5.2
100.0,27.7,36.1,10019,0.0,63.6,0,3.13,39.0,2014-04-01T01:00:00-04:00,34.9,4.1
14.0,28.0,37.2,10019,0.0,65.0,0,3.17,38.8,2014-04-01T02:00:00-04:00,34.8,2.8
10.0,28.4,36.5,10019,0.0,67.3,0,3.22,38.2,2014-04-01T03:00:00-04:00,34.6,2.9
7.0,28.5,35.2,10019,0.0,70.3,0,3.24,37.2,2014-04-01T04:00:00-04:00,34.0,3.0
3.0,28.1,34.5,10019,0.0,69.9,0,3.19,37.0,2014-04-01T05:00:00-04:00,33.8,3.4
2.0,28.0,34.0,10019,0.0,70.4,0,3.18,36.8,2014-04-01T06:00:00-04:00,33.6,3.6
2.0,28.2,33.8,10019,0.0,72.1,0,3.21,36.4,2014-04-01T07:00:00-04:00,33.4,3.4
1.0,29.3,36.1,10019,0.0,67.6,0,3.35,39.1,2014-04-01T08:00:00-04:00,35.5,4.2
6.0,28.9,38.2,10019,0.0,59.4,0,3.29,42.0,2014-04-01T09:00:00-04:00,37.2,6.0
11.0,29.1,42.3,10019,0.0,53.6,0,3.31,44.9,2014-04-01T10:00:00-04:00,39.0,4.8
3.0,29.9,47.6,10019,0.0,48.7,0,3.44,48.4,2014-04-01T11:00:00-04:00,41.4,3.2
9.0,30.3,51.0,10019,0.0,44.6,0,3.48,51.1,2014-04-01T12:00:00-04:00,43.1,2.9
16.0,31.0,54.6,10019,0.0,40.5,0,3.6,54.6,2014-04-01T13:00:00-04:00,45.4,2.2
44.0,31.6,57.4,10019,0.0,37.4,0,3.68,57.4,2014-04-01T14:00:00-04:00,47.2,3.0
71.0,31.6,58.7,10019,0.0,35.6,0,3.69,58.7,2014-04-01T15:00:00-04:00,48.0,2.1
85.0,32.6,59.0,10019,0.0,36.6,0,3.84,59.0,2014-04-01T16:00:00-04:00,48.4,3.3
83.0,32.4,59.7,10019,0.0,35.5,0,3.81,59.7,2014-04-01T17:00:00-04:00,48.7,2.7
94.0,33.4,52.8,10019,0.0,45.0,0,3.97,54.3,2014-04-01T18:00:00-04:00,45.7,6.0
65.0,32.7,47.9,10019,0.0,51.1,0,3.86,50.1,2014-04-01T19:00:00-04:00,43.1,5.8
100.0,33.1,45.4,10019,0.0,57.8,0,3.91,47.2,2014-04-01T20:00:00-04:00,41.4,4.2
25.0,33.2,44.5,10019,0.0,60.8,0,3.93,46.0,2014-04-01T21:00:00-04:00,40.8,3.7
21.0,34.5,43.7,10019,0.0,67.1,0,4.14,44.7,2014-04-01T22:00:00-04:00,40.4,3.0
18.0,34.3,41.5,10019,0.0,71.2,0,4.1,43.0,2014-04-01T23:00:00-04:00,39.3,3.2
21.0,34.6,40.5,10019,0.0,75.3,0,4.15,41.8,2014-04-02T00:00:00-04:00,38.8,2.9
